Area,Bedrooms,Age,Price
1512,1,17,7429187
2428,2,6,13195170
1312,3,27,6305726
844,1,13,4062762
4739,8,1,26561308
2228,4,34,11485498
2405,3,37,11947704
653,1,27,2762378
2876,3,13,15178144
1437,1,24,6673814
3540,5,38,18245370
955,2,29,4698275
1622,2,5,8903256
3001,5,39,15514401
2175,4,4,11718050
2466,3,5,13177298
1427,2,17,7425835
3588,4,23,18820128
2316,4,17,12749111
1184,2,40,5176251
4975,8,15,26951339
4386,6,17,23888288
2399,4,20,12413455
2476,2,20,12735851
2793,3,13,14988331
3177,3,31,16265250
4358,5,16,23028013
2620,5,35,13839158
2752,5,37,14349645
3871,5,14,20554251
4774,7,5,26607295
985,1,9,5329924
1910,3,27,10007380
1120,1,24,5548834
4434,7,16,24296899
694,2,7,4153625
4998,7,21,26616570
3004,4,10,16276563
626,1,16,3120102
2063,4,6,11683274
3044,5,32,16207351
2229,2,23,11740350
1923,3,33,9270199
3255,5,1,17713301
3573,5,15,18890338
2573,4,5,13799414
4581,6,34,23853069
1651,3,30,8521710
1952,3,33,10056459
4066,5,34,21615152
2247,4,19,12012773
3659,5,33,19210217
1591,1,14,7740336
3369,4,37,17469628
2485,4,14,12989540
1181,2,40,5042933
2475,2,2,13196479
1180,2,15,6018004
4576,6,34,23833939
4472,5,30,23481233
2159,2,6,11777793
4131,6,27,22022271
4425,7,3,24766073
1406,1,25,7144787
3379,4,15,17801696
2158,4,28,11008591
4056,5,17,21766300
2646,3,28,13756257
1402,1,34,6105874
1364,1,10,7038956
4578,7,13,24976121
1080,1,24,4718260
3798,5,29,19878705
4065,7,35,21922022
4586,6,12,24718320
2383,2,37,12093076
1099,2,20,5214742
1010,2,30,4919276
4950,6,3,27102496
1256,1,4,6855139
1156,2,15,6024589
1582,3,15,8643440
925,2,5,5139589
4882,7,16,26260581
3173,3,16,16694611
1672,3,19,8863834
3190,3,0,17328547
1419,1,34,6402308
4744,7,8,25934762
1163,1,23,5476430
1892,2,34,9596115
3078,5,33,15723803
3052,5,6,16531214
2766,3,6,15241680
1873,2,18,9873810
2325,4,21,12153487
2762,5,31,14395719
1016,1,40,4347351
2866,3,0,15512959
1671,3,16,8638630
4219,7,27,22856953
679,1,4,3955386
1821,3,2,10056351
1813,2,8,9271460
3125,4,2,17045190
2320,4,15,12793330
1442,2,35,6914517
1866,1,10,9408852
3977,5,11,21822743
3321,5,15,17798966
1904,3,6,10381924
917,1,14,4377667
4370,6,19,23312651
2426,2,12,12713021
3289,5,4,17975483
3476,6,32,18454293
4992,7,1,27189344
2739,3,37,13671161
913,1,38,3883273
3431,6,20,18618792
4789,6,24,25707396
2157,3,2,12159615
4172,5,33,21969007
2214,3,27,11036172
3304,6,20,18196412
1620,3,19,8645756
3133,5,26,16553627
3896,6,18,21220543
1642,1,26,8275629
3705,6,11,20501414
3065,4,35,15368425
3089,4,13,16603570
3239,4,28,16946438
2350,4,30,12571711
1990,4,5,10975571
4822,8,40,25883742
3345,4,15,18129477
3142,3,12,16392911
800,1,15,4028216
1196,1,26,5919556
2192,4,24,11676792
3873,4,9,21037526
645,1,27,2593471
2040,4,33,10585115
1011,2,15,4974453
4339,5,29,23092805
4951,8,38,26297911
4225,7,32,22597470
4252,5,30,22382332
2723,3,40,13510382
4870,7,40,25514867
2849,4,4,15923006
2940,3,17,15390161
3219,5,5,17433895
1835,1,24,9369659
1851,3,13,9562548
3998,6,21,21648569
4416,6,3,24010081
4041,6,37,21552508
760,2,24,3772149
648,1,19,3409675
3794,5,34,20192626
2406,3,14,12637393
4170,6,1,22981746
3353,6,25,18364959
1952,3,8,10822883
4975,6,25,26660644
822,1,27,3426691
4382,5,3,23669193
3705,5,13,20052786
3277,5,24,17312173
4053,6,5,22338752
758,2,34,3016215
3466,4,4,19066614
929,1,15,4409844
766,2,9,4003332
1634,2,7,8918164
2385,3,16,12568814
1974,4,38,10389056
1538,1,19,7360949
810,1,36,3662250
3674,5,12,19524488
2589,2,19,13650297
1591,3,2,8837269
4964,7,23,26335106
4744,8,21,25412066
4041,6,6,22207782
3567,6,29,19340066
1853,2,11,10115040
4874,8,17,26840630
4560,7,27,24808536
2798,4,15,14670472
2884,4,15,15813731
4406,7,39,23581846
3704,5,1,20449117
3262,4,31,16734823
3506,5,21,18594443
2863,5,0,16129322
2165,2,15,11603053
3929,6,35,21095793
2568,4,30,13610878
4620,7,1,25231573
3010,3,25,15887391
2593,3,37,13020545
4476,7,33,23785655
4085,7,35,21678859
